,FSA_SystemDate,Transaction_Type,Behavioural draw-downs of committed facilities,Behavioural inflows from loans and advances,Behavioural outflows from deposits
0,2023-03-31,C010,0.0,0.0,0.0
1,2023-03-31,C020,0.0,0.0,0.0
2,2023-03-31,C030,0.0,0.0,0.0
3,2023-03-31,C040,0.0,0.0,0.0
4,2023-03-31,C050,0.0,0.0,0.0
5,2023-03-31,C060,0.0,0.0,0.0
6,2023-03-31,C070,0.0,0.0,0.0
7,2023-03-31,C080,0.0,0.0,0.0
8,2023-03-31,C090,0.0,0.0,0.0
9,2023-03-31,C100,0.0,0.0,0.0
10,2023-03-31,C110,0.0,0.0,0.0
11,2023-03-31,C120,0.0,0.0,0.0
12,2023-03-31,C130,0.0,0.0,0.0
13,2023-03-31,C140,0.0,0.0,0.0
14,2023-03-31,C150,0.0,0.0,0.0
15,2023-03-31,C160,0.0,0.0,0.0
16,2023-03-31,C170,0.0,0.0,0.0
17,2023-03-31,C180,0.0,0.0,0.0
18,2023-03-31,C190,0.0,0.0,0.0
19,2023-03-31,C200,0.0,0.0,0.0
20,2023-03-31,C210,0.0,0.0,0.0
21,2023-03-31,C220,0.0,0.0,0.0
22,2023-03-31,C6010,0.0,0.0,0.0
23,2023-03-31,C6020,0.0,0.0,0.0
24,2023-03-31,C6030,0.0,0.0,0.0
25,2023-03-31,C6040,0.0,0.0,0.0
26,2023-03-31,C6050,0.0,0.0,0.0
27,2023-03-31,C6060,0.0,0.0,0.0
28,2023-03-31,C6070,0.0,0.0,0.0
29,2023-03-31,C6080,0.0,0.0,0.0
30,2023-03-31,C6090,0.0,0.0,0.0
31,2023-03-31,C7000,0.0,0.0,0.0
32,2023-03-31,C7010,0.0,0.0,0.0
33,2023-03-31,C7020,0.0,0.0,0.0
34,2023-03-31,C7030,0.0,0.0,0.0
35,2023-03-31,C7040,0.0,0.0,0.0
36,2023-03-31,C7050,0.0,0.0,0.0
37,2023-03-31,C7060,0.0,0.0,0.0
38,2023-03-31,C7070,0.0,0.0,0.0
39,2023-03-31,C7080,0.0,0.0,0.0
40,2023-03-31,C7090,0.0,0.0,0.0
41,2023-03-31,C7100,0.0,0.0,0.0
42,2023-03-31,C7110,0.0,0.0,0.0
43,2023-03-31,C7120,0.0,0.0,0.0
44,2023-03-31,C7130,0.0,0.0,0.0
45,2023-03-31,C7140,0.0,0.0,0.0
46,2023-03-31,C7150,0.0,0.0,0.0
47,2023-03-31,C7160,0.0,0.0,0.0
48,2023-03-31,C7170,0.0,0.0,0.0
49,2023-03-31,C7180,0.0,0.0,0.0
50,2023-03-31,C7190,0.0,0.0,0.0
51,2023-03-31,C7200,0.0,0.0,0.0
52,2023-03-31,C7210,0.0,0.0,0.0
53,2023-03-31,C7220,0.0,0.0,0.0
54,2023-03-31,C7230,0.0,0.0,0.0
55,2023-03-31,C7240,0.0,0.0,0.0
56,2023-03-31,C7250,0.0,0.0,0.0
57,2023-03-31,C7260,0.0,0.0,0.0
58,2023-03-31,C7270,0.0,0.0,0.0
59,2023-03-31,C7280,0.0,0.0,0.0
60,2023-03-31,C7290,0.0,0.0,0.0
61,2023-03-31,C7300,0.0,0.0,0.0
62,2023-03-31,C7310,0.0,0.0,0.0
63,2023-03-31,C7320,0.0,0.0,0.0
64,2023-03-31,C7330,0.0,0.0,0.0
65,2023-03-31,C7340,0.0,0.0,0.0
66,2023-03-31,C7350,0.0,0.0,0.0
67,2023-03-31,C7360,0.0,0.0,0.0
68,2023-03-31,C7370,0.0,0.0,0.0
69,2023-03-31,C7380,0.0,0.0,0.0
70,2023-03-31,C7390,0.0,0.0,0.0
71,2023-03-31,C7400,0.0,0.0,0.0
72,2023-03-31,C7410,0.0,0.0,0.0
73,2023-03-31,C7420,0.0,0.0,0.0
74,2023-03-31,C7430,0.0,0.0,0.0
75,2023-03-31,C7440,0.0,0.0,0.0
76,2023-03-31,C7450,0.0,0.0,0.0
77,2023-03-31,C7460,0.0,0.0,0.0
78,2023-03-31,C7470,0.0,0.0,0.0
79,2023-03-31,C7480,0.0,0.0,0.0
80,2023-03-31,C7490,0.0,0.0,0.0
81,2023-03-31,C7500,0.0,0.0,0.0
82,2023-03-31,C7510,0.0,0.0,0.0
83,2023-03-31,C7520,0.0,0.0,0.0
84,2023-03-31,C7530,0.0,0.0,0.0
85,2023-03-31,C7540,0.0,0.0,0.0
86,2023-03-31,C7550,0.0,0.0,0.0
87,2023-03-31,C7560,0.0,0.0,0.0
88,2023-03-31,C7570,0.0,0.0,0.0
89,2023-03-31,C7580,0.0,0.0,0.0
90,2023-03-31,C7590,0.0,0.0,0.0
91,2023-03-31,C7600,0.0,0.0,0.0
92,2023-03-31,C7610,0.0,0.0,0.0
93,2023-03-31,C7620,0.0,0.0,0.0
94,2023-03-31,C7630,0.0,0.0,0.0
95,2023-03-31,C7640,0.0,0.0,0.0
96,2023-03-31,C7650,0.0,0.0,0.0
97,2023-03-31,C7660,0.0,0.0,0.0
98,2023-03-31,C7670,0.0,0.0,0.0
99,2023-03-31,C7680,0.0,0.0,0.0
100,2023-03-31,C7690,0.0,0.0,0.0
101,2023-03-31,C7700,0.0,0.0,0.0
102,2023-03-31,C7710,0.0,0.0,0.0
103,2023-03-31,C7720,0.0,0.0,0.0
104,2023-03-31,C7730,0.0,0.0,0.0
105,2023-03-31,C7740,0.0,0.0,0.0
106,2023-03-31,C7750,0.0,0.0,0.0
107,2023-03-31,C7760,0.0,0.0,0.0
108,2023-05-31,C010,145505394.27,821780226.46,375091561.48
109,2023-05-31,C020,2365876.3099999996,11417391.94,4903593.57
110,2023-05-31,C030,2365876.3099999996,11417391.94,6075202.34
111,2023-05-31,C040,2365876.3099999996,11417391.94,3903525.96
112,2023-05-31,C050,2365876.3099999996,11417391.94,3229826.89
113,2023-05-31,C060,2365876.3099999996,11417391.94,7281854.26
114,2023-05-31,C070,2365876.3099999996,11417391.94,4197116.88
115,2023-05-31,C080,2365876.3099999996,11417391.94,5109819.699999999
116,2023-05-31,C090,16561134.15,79921743.52,28914601.18
117,2023-05-31,C100,16561134.15,79921743.52,111208993.52000001
118,2023-05-31,C110,21292886.759999998,102756527.38,36171777.97
119,2023-05-31,C120,8287675.82,47503077.86,13564402.43
120,2023-05-31,C130,43095914.29000001,247016004.88,78682013.7
121,2023-05-31,C140,37340772.79,253243737.36,101646179.11
